UTC,Latitude,Longitude
2025/03/25 - 15:24:50,49.38587036,1.06803996
2025/03/25 - 15:24:51,49.38557385,1.06803493
2025/03/25 - 15:24:52,49.38620391,1.06781012
2025/03/25 - 15:24:53,49.38605886,1.06790693
2025/03/25 - 15:24:54,49.38598573,1.06792018
2025/03/25 - 15:24:55,49.38676957,1.06774433
2025/03/25 - 15:24:56,49.38642737,1.06821438
2025/03/25 - 15:24:57,49.38627105,1.06840071
2025/03/25 - 15:24:58,49.38465913,1.06790652
2025/03/25 - 15:24:59,49.38548772,1.06809083
2025/03/25 - 15:25:00,49.38515299,1.06790031
2025/03/25 - 15:25:01,49.38535437,1.06807759
2025/03/25 - 15:25:02,49.38325118,1.06743311
2025/03/25 - 15:25:03,49.38421124,1.06777308
2025/03/25 - 15:25:05,49.38429925,1.06769705
2025/03/25 - 15:25:06,49.38435948,1.06784399
2025/03/25 - 15:25:16,49.38576181,1.06885375
2025/03/25 - 15:25:17,49.38492115,1.06813241
2025/03/25 - 15:25:18,49.38478813,1.06845184
2025/03/25 - 15:25:19,49.38442833,1.06825738
2025/03/25 - 15:25:26,49.38956175,1.07239963
2025/03/25 - 15:25:27,49.38913636,1.07235253
2025/03/25 - 15:25:28,49.38515060,1.06831958
2025/03/25 - 15:25:29,49.38446408,1.06802026
2025/03/25 - 15:25:31,49.38406426,1.06815479
2025/03/25 - 15:25:32,49.38476118,1.06824447
2025/03/25 - 15:25:33,49.38450892,1.06820701
2025/03/25 - 15:25:34,49.38350058,1.06683992
2025/03/25 - 15:25:35,49.38481449,1.06791724
2025/03/25 - 15:25:36,49.38520236,1.06836693
2025/03/25 - 15:25:37,49.38192185,1.06522045
2025/03/25 - 15:25:38,49.37816994,1.06233322
2025/03/25 - 15:25:39,49.37851804,1.06278995
