UTC,Latitude,Longitude
2025/03/25 - 15:36:04,49.38494344,1.06792076
2025/03/25 - 15:36:05,49.38494344,1.06792076
2025/03/25 - 15:36:06,49.38494344,1.06792076
2025/03/25 - 15:36:07,49.38494344,1.06792076
2025/03/25 - 15:36:08,49.38494344,1.06792076
2025/03/25 - 15:36:09,49.38494344,1.06792076
2025/03/25 - 15:36:10,49.38494344,1.06792076
2025/03/25 - 15:36:11,49.38494344,1.06792076
2025/03/25 - 15:36:12,49.38494344,1.06792076
2025/03/25 - 15:36:13,49.38494344,1.06792076
2025/03/25 - 15:36:14,49.38494344,1.06792076
2025/03/25 - 15:36:15,49.38494344,1.06792076
2025/03/25 - 15:36:16,49.38494344,1.06792076
2025/03/25 - 15:36:17,49.38494344,1.06792076
2025/03/25 - 15:36:18,49.38494344,1.06792076
2025/03/25 - 15:36:19,49.38494344,1.06792076
2025/03/25 - 15:36:20,49.38494344,1.06792076
2025/03/25 - 15:36:21,49.38494344,1.06792076
2025/03/25 - 15:36:22,49.38494344,1.06792076
2025/03/25 - 15:36:23,49.38494344,1.06792076
2025/03/25 - 15:36:24,49.38494344,1.06792076
2025/03/25 - 15:36:25,49.38494344,1.06792076
2025/03/25 - 15:36:26,49.38494344,1.06792076
2025/03/25 - 15:36:27,49.38494344,1.06792076
2025/03/25 - 15:36:28,49.38494344,1.06792076
2025/03/25 - 15:36:29,49.38494344,1.06792076
2025/03/25 - 15:36:30,49.38494344,1.06792076
2025/03/25 - 15:36:31,49.38494344,1.06792076
2025/03/25 - 15:36:32,49.38494344,1.06792076
2025/03/25 - 15:36:33,49.38494344,1.06792076
2025/03/25 - 15:36:34,49.38494344,1.06792076
2025/03/25 - 15:36:35,49.38494344,1.06792076
2025/03/25 - 15:36:36,49.38494344,1.06792076
2025/03/25 - 15:36:37,49.38494344,1.06792076
2025/03/25 - 15:36:38,49.38494344,1.06792076
2025/03/25 - 15:36:39,49.38494344,1.06792076
2025/03/25 - 15:36:40,49.38494344,1.06792076
2025/03/25 - 15:36:41,49.38494344,1.06792076
2025/03/25 - 15:36:42,49.38494344,1.06792076
2025/03/25 - 15:36:43,49.38494344,1.06792076
2025/03/25 - 15:36:44,49.38494344,1.06792076
2025/03/25 - 15:36:45,49.38494344,1.06792076
2025/03/25 - 15:36:46,49.38494344,1.06792076
2025/03/25 - 15:36:47,49.38494344,1.06792076
2025/03/25 - 15:36:48,49.38494344,1.06792076
2025/03/25 - 15:36:49,49.38494344,1.06792076
2025/03/25 - 15:36:50,49.38494344,1.06792076
2025/03/25 - 15:36:51,49.38494344,1.06792076
2025/03/25 - 15:36:52,49.38494344,1.06792076
2025/03/25 - 15:36:53,49.38494344,1.06792076
2025/03/25 - 15:36:54,49.38494344,1.06792076
2025/03/25 - 15:36:55,49.38494344,1.06792076
2025/03/25 - 15:36:56,49.38494344,1.06792076
2025/03/25 - 15:36:57,49.38494344,1.06792076
2025/03/25 - 15:36:58,49.38494344,1.06792076
2025/03/25 - 15:36:59,49.38494344,1.06792076
2025/03/25 - 15:37:00,49.38494344,1.06792076
2025/03/25 - 15:37:01,49.38494344,1.06792076
2025/03/25 - 15:37:02,49.38494344,1.06792076
2025/03/25 - 15:37:03,49.38494344,1.06792076
2025/03/25 - 15:37:04,49.38494344,1.06792076
2025/03/25 - 15:37:05,49.38494344,1.06792076
2025/03/25 - 15:37:06,49.38494344,1.06792076
2025/03/25 - 15:37:07,49.38494344,1.06792076
2025/03/25 - 15:37:08,49.38494344,1.06792076
2025/03/25 - 15:37:09,49.38494344,1.06792076
2025/03/25 - 15:37:10,49.38494344,1.06792076
2025/03/25 - 15:37:11,49.38494344,1.06792076
2025/03/25 - 15:37:12,49.38494344,1.06792076
2025/03/25 - 15:37:13,49.38494344,1.06792076
2025/03/25 - 15:37:14,49.38494344,1.06792076
2025/03/25 - 15:37:15,49.38494344,1.06792076
2025/03/25 - 15:37:16,49.38494344,1.06792076
2025/03/25 - 15:37:17,49.38494344,1.06792076
2025/03/25 - 15:37:18,49.38494344,1.06792076
2025/03/25 - 15:37:19,49.38494344,1.06792076
2025/03/25 - 15:37:20,49.38494344,1.06792076
2025/03/25 - 15:37:21,49.38494344,1.06792076
2025/03/25 - 15:37:22,49.38494344,1.06792076
2025/03/25 - 15:37:23,49.38494344,1.06792076
2025/03/25 - 15:37:24,49.38494344,1.06792076
2025/03/25 - 15:37:25,49.38494344,1.06792076
2025/03/25 - 15:37:26,49.38494344,1.06792076
2025/03/25 - 15:37:27,49.38494344,1.06792076
2025/03/25 - 15:37:28,49.38494344,1.06792076
2025/03/25 - 15:37:29,49.38494344,1.06792076
2025/03/25 - 15:37:30,49.38494344,1.06792076
2025/03/25 - 15:37:31,49.38494344,1.06792076
2025/03/25 - 15:37:32,49.38494344,1.06792076
2025/03/25 - 15:37:33,49.38494344,1.06792076
