UTC,Latitude,Longitude
2025/03/25 - 15:26:36,49.38444667,1.06847333
2025/03/25 - 15:26:37,49.38445833,1.06846500
2025/03/25 - 15:26:38,49.38446667,1.06845667
2025/03/25 - 15:26:39,49.38448000,1.06845333
2025/03/25 - 15:26:40,49.38449000,1.06844667
2025/03/25 - 15:26:41,49.38450167,1.06844333
2025/03/25 - 15:26:42,49.38450833,1.06844167
2025/03/25 - 15:26:43,49.38451833,1.06844667
2025/03/25 - 15:26:44,49.38452167,1.06844167
2025/03/25 - 15:26:45,49.38452500,1.06844000
2025/03/25 - 15:26:46,49.38452500,1.06844000
2025/03/25 - 15:26:47,49.38452500,1.06844000
2025/03/25 - 15:26:48,49.38452500,1.06844000
2025/03/25 - 15:26:49,49.38452500,1.06844000
2025/03/25 - 15:26:50,49.38454167,1.06842167
2025/03/25 - 15:26:51,49.38454833,1.06841667
2025/03/25 - 15:26:52,49.38455833,1.06841500
2025/03/25 - 15:26:53,49.38456167,1.06841167
2025/03/25 - 15:26:54,49.38456500,1.06841000
2025/03/25 - 15:26:55,49.38456833,1.06840333
2025/03/25 - 15:26:56,49.38456833,1.06840333
2025/03/25 - 15:26:57,49.38456833,1.06840333
2025/03/25 - 15:26:58,49.38456833,1.06840333
2025/03/25 - 15:26:59,49.38456833,1.06840333
2025/03/25 - 15:27:00,49.38456833,1.06840333
2025/03/25 - 15:27:01,49.38458667,1.06837000
2025/03/25 - 15:27:02,49.38458667,1.06837000
2025/03/25 - 15:27:03,49.38458167,1.06837167
2025/03/25 - 15:27:04,49.38458167,1.06836833
2025/03/25 - 15:27:05,49.38458667,1.06836167
2025/03/25 - 15:27:06,49.38460667,1.06834500
2025/03/25 - 15:27:07,49.38462500,1.06833333
2025/03/25 - 15:27:08,49.38463500,1.06832500
2025/03/25 - 15:27:09,49.38463500,1.06831167
2025/03/25 - 15:27:10,49.38463500,1.06830833
2025/03/25 - 15:27:11,49.38463667,1.06830333
2025/03/25 - 15:27:12,49.38464000,1.06829833
2025/03/25 - 15:27:13,49.38464333,1.06829333
2025/03/25 - 15:27:14,49.38464833,1.06828333
2025/03/25 - 15:27:15,49.38465000,1.06827500
2025/03/25 - 15:27:16,49.38465167,1.06826667
2025/03/25 - 15:27:17,49.38465667,1.06826000
2025/03/25 - 15:27:18,49.38466000,1.06825167
2025/03/25 - 15:27:19,49.38466000,1.06824000
2025/03/25 - 15:27:20,49.38466500,1.06822000
2025/03/25 - 15:27:21,49.38467000,1.06820833
2025/03/25 - 15:27:22,49.38467667,1.06819333
2025/03/25 - 15:27:23,49.38468167,1.06817833
2025/03/25 - 15:27:24,49.38468667,1.06817167
2025/03/25 - 15:27:25,49.38469167,1.06815833
2025/03/25 - 15:27:26,49.38469667,1.06814667
2025/03/25 - 15:27:27,49.38469833,1.06813667
2025/03/25 - 15:27:28,49.38470333,1.06812167
2025/03/25 - 15:27:29,49.38470500,1.06810167
2025/03/25 - 15:27:30,49.38470667,1.06809000
2025/03/25 - 15:27:31,49.38470667,1.06807000
2025/03/25 - 15:27:32,49.38470500,1.06805500
2025/03/25 - 15:27:33,49.38470500,1.06802667
2025/03/25 - 15:27:34,49.38470500,1.06799167
2025/03/25 - 15:27:35,49.38471333,1.06795000
2025/03/25 - 15:27:36,49.38471167,1.06793000
2025/03/25 - 15:27:37,49.38471000,1.06790500
2025/03/25 - 15:27:38,49.38471000,1.06788500
2025/03/25 - 15:27:39,49.38471333,1.06785000
2025/03/25 - 15:27:40,49.38471333,1.06782833
2025/03/25 - 15:27:41,49.38471333,1.06780667
2025/03/25 - 15:27:42,49.38471167,1.06778167
2025/03/25 - 15:27:43,49.38471167,1.06777000
2025/03/25 - 15:27:44,49.38471167,1.06775167
2025/03/25 - 15:27:45,49.38471333,1.06774000
2025/03/25 - 15:27:46,49.38471500,1.06772833
2025/03/25 - 15:27:47,49.38471500,1.06772000
2025/03/25 - 15:27:48,49.38471167,1.06771333
2025/03/25 - 15:27:49,49.38470500,1.06770833
2025/03/25 - 15:27:50,49.38470000,1.06770167
2025/03/25 - 15:27:51,49.38469667,1.06770000
2025/03/25 - 15:27:52,49.38469333,1.06769167
2025/03/25 - 15:27:53,49.38469667,1.06767333
2025/03/25 - 15:27:54,49.38469500,1.06765167
2025/03/25 - 15:27:55,49.38469833,1.06763833
2025/03/25 - 15:27:56,49.38470167,1.06763000
2025/03/25 - 15:27:57,49.38470333,1.06762500
2025/03/25 - 15:27:58,49.38470667,1.06761833
2025/03/25 - 15:27:59,49.38470667,1.06761167
2025/03/25 - 15:28:00,49.38470833,1.06760333
2025/03/25 - 15:28:01,49.38471000,1.06759500
2025/03/25 - 15:28:02,49.38471000,1.06758667
2025/03/25 - 15:28:03,49.38471000,1.06758667
2025/03/25 - 15:28:04,49.38471000,1.06758667
2025/03/25 - 15:28:05,49.38471000,1.06758667
2025/03/25 - 15:28:06,49.38471000,1.06758667
2025/03/25 - 15:28:07,49.38471000,1.06758667
2025/03/25 - 15:28:08,49.38471000,1.06758667
2025/03/25 - 15:28:09,49.38471000,1.06758667
2025/03/25 - 15:28:10,49.38471500,1.06750833
2025/03/25 - 15:28:11,49.38472000,1.06749667
2025/03/25 - 15:28:12,49.38472333,1.06749167
2025/03/25 - 15:28:13,49.38473000,1.06748500
2025/03/25 - 15:28:14,49.38473167,1.06748500
2025/03/25 - 15:28:15,49.38472000,1.06751000
2025/03/25 - 15:28:16,49.38472000,1.06750833
2025/03/25 - 15:28:17,49.38473500,1.06749000
2025/03/25 - 15:28:18,49.38474500,1.06746000
2025/03/25 - 15:28:19,49.38474500,1.06744333
2025/03/25 - 15:28:20,49.38474667,1.06743833
2025/03/25 - 15:28:21,49.38473167,1.06739333
2025/03/25 - 15:28:22,49.38472333,1.06735667
2025/03/25 - 15:28:23,49.38471500,1.06732333
2025/03/25 - 15:28:24,49.38470167,1.06726167
2025/03/25 - 15:28:25,49.38469167,1.06720167
2025/03/25 - 15:28:30,49.38467000,1.06698667
2025/03/25 - 15:28:31,49.38468833,1.06696000
2025/03/25 - 15:28:32,49.38468333,1.06689333
2025/03/25 - 15:28:33,49.38470667,1.06689333
2025/03/25 - 15:28:34,49.38474333,1.06687667
2025/03/25 - 15:28:35,49.38477000,1.06691833
2025/03/25 - 15:28:36,49.38476000,1.06686333
2025/03/25 - 15:28:37,49.38477833,1.06684333
2025/03/25 - 15:28:38,49.38479333,1.06681000
2025/03/25 - 15:28:39,49.38482167,1.06681833
2025/03/25 - 15:28:40,49.38483333,1.06678667
2025/03/25 - 15:28:41,49.38485000,1.06674333
2025/03/25 - 15:28:42,49.38485000,1.06669667
2025/03/25 - 15:28:43,49.38486167,1.06667333
2025/03/25 - 15:28:44,49.38486333,1.06662500
2025/03/25 - 15:28:45,49.38485667,1.06656167
2025/03/25 - 15:28:46,49.38486000,1.06657000
2025/03/25 - 15:28:47,49.38489167,1.06658667
2025/03/25 - 15:28:48,49.38491333,1.06659000
2025/03/25 - 15:28:49,49.38492667,1.06660333
2025/03/25 - 15:28:50,49.38491500,1.06656667
2025/03/25 - 15:28:51,49.38486500,1.06660167
2025/03/25 - 15:28:52,49.38484667,1.06661000
2025/03/25 - 15:28:53,49.38482500,1.06659000
2025/03/25 - 15:28:54,49.38481667,1.06658000
2025/03/25 - 15:28:55,49.38478833,1.06652500
2025/03/25 - 15:29:08,49.38480333,1.06679833
2025/03/25 - 15:29:09,49.38480500,1.06684500
2025/03/25 - 15:29:10,49.38482000,1.06689167
2025/03/25 - 15:29:11,49.38480833,1.06686833
2025/03/25 - 15:29:12,49.38478500,1.06687667
2025/03/25 - 15:29:13,49.38474833,1.06683667
2025/03/25 - 15:29:14,49.38472500,1.06682333
2025/03/25 - 15:29:15,49.38471333,1.06682000
2025/03/25 - 15:29:16,49.38469667,1.06680833
2025/03/25 - 15:29:17,49.38469167,1.06681167
2025/03/25 - 15:29:18,49.38468333,1.06680500
2025/03/25 - 15:29:19,49.38468833,1.06680500
2025/03/25 - 15:29:20,49.38468667,1.06680167
2025/03/25 - 15:29:21,49.38468333,1.06679333
2025/03/25 - 15:29:22,49.38466833,1.06678333
2025/03/25 - 15:29:23,49.38466333,1.06678167
2025/03/25 - 15:29:24,49.38466000,1.06678000
2025/03/25 - 15:29:25,49.38465833,1.06677667
2025/03/25 - 15:29:26,49.38466000,1.06677000
2025/03/25 - 15:29:27,49.38465500,1.06676333
2025/03/25 - 15:29:28,49.38465333,1.06676000
2025/03/25 - 15:29:29,49.38465167,1.06675333
2025/03/25 - 15:29:30,49.38465000,1.06675000
2025/03/25 - 15:29:31,49.38464167,1.06674000
2025/03/25 - 15:29:32,49.38463667,1.06673500
2025/03/25 - 15:29:33,49.38463333,1.06674000
2025/03/25 - 15:29:34,49.38462833,1.06673833
2025/03/25 - 15:29:35,49.38462000,1.06674000
2025/03/25 - 15:29:36,49.38461667,1.06674333
2025/03/25 - 15:29:37,49.38461000,1.06673833
2025/03/25 - 15:29:38,49.38460500,1.06673667
2025/03/25 - 15:29:39,49.38460500,1.06673333
2025/03/25 - 15:29:40,49.38460333,1.06673333
2025/03/25 - 15:29:41,49.38460167,1.06673500
2025/03/25 - 15:29:42,49.38460000,1.06673333
2025/03/25 - 15:29:43,49.38460000,1.06673500
2025/03/25 - 15:29:44,49.38459833,1.06673833
2025/03/25 - 15:29:45,49.38459500,1.06674167
2025/03/25 - 15:29:46,49.38459500,1.06674500
2025/03/25 - 15:29:47,49.38459667,1.06674500
2025/03/25 - 15:29:48,49.38460000,1.06674833
2025/03/25 - 15:29:49,49.38460333,1.06674667
2025/03/25 - 15:29:50,49.38461000,1.06674500
2025/03/25 - 15:29:51,49.38461333,1.06674833
2025/03/25 - 15:29:52,49.38461667,1.06675000
2025/03/25 - 15:29:53,49.38461667,1.06674833
2025/03/25 - 15:29:54,49.38461833,1.06675167
2025/03/25 - 15:29:55,49.38461833,1.06675167
2025/03/25 - 15:29:56,49.38461833,1.06675167
2025/03/25 - 15:29:57,49.38461833,1.06675167
2025/03/25 - 15:29:58,49.38461833,1.06675167
2025/03/25 - 15:29:59,49.38461833,1.06675167
2025/03/25 - 15:30:00,49.38461833,1.06675167
2025/03/25 - 15:30:01,49.38461833,1.06675167
2025/03/25 - 15:30:02,49.38461833,1.06675167
2025/03/25 - 15:30:03,49.38461833,1.06675167
2025/03/25 - 15:30:04,49.38461833,1.06675167
2025/03/25 - 15:30:05,49.38461833,1.06675167
2025/03/25 - 15:30:06,49.38461833,1.06675167
2025/03/25 - 15:30:07,49.38461833,1.06675167
2025/03/25 - 15:30:08,49.38461833,1.06675167
2025/03/25 - 15:30:09,49.38461833,1.06675167
2025/03/25 - 15:30:10,49.38461833,1.06675167
2025/03/25 - 15:30:11,49.38461833,1.06675167
2025/03/25 - 15:30:12,49.38461833,1.06675167
2025/03/25 - 15:30:13,49.38461833,1.06675167
2025/03/25 - 15:30:14,49.38461833,1.06675167
2025/03/25 - 15:30:15,49.38461833,1.06675167
2025/03/25 - 15:30:16,49.38461833,1.06675167
2025/03/25 - 15:30:17,49.38461833,1.06675167
2025/03/25 - 15:30:18,49.38465000,1.06683500
2025/03/25 - 15:30:19,49.38464167,1.06682333
2025/03/25 - 15:30:20,49.38463333,1.06683333
2025/03/25 - 15:30:21,49.38463167,1.06683333
2025/03/25 - 15:30:22,49.38462333,1.06683833
2025/03/25 - 15:30:23,49.38462000,1.06684500
2025/03/25 - 15:30:24,49.38461833,1.06685333
2025/03/25 - 15:30:25,49.38461000,1.06685667
2025/03/25 - 15:30:26,49.38460833,1.06687000
2025/03/25 - 15:30:27,49.38461000,1.06687500
2025/03/25 - 15:30:28,49.38461000,1.06688167
2025/03/25 - 15:30:29,49.38460500,1.06690333
2025/03/25 - 15:30:30,49.38460167,1.06691000
2025/03/25 - 15:30:31,49.38460167,1.06692167
2025/03/25 - 15:30:32,49.38460167,1.06693333
2025/03/25 - 15:30:33,49.38459833,1.06693833
2025/03/25 - 15:30:34,49.38459333,1.06695167
2025/03/25 - 15:30:35,49.38458833,1.06697000
2025/03/25 - 15:30:36,49.38459000,1.06697333
2025/03/25 - 15:30:37,49.38459000,1.06698000
2025/03/25 - 15:30:38,49.38459167,1.06699333
2025/03/25 - 15:30:39,49.38458667,1.06700000
2025/03/25 - 15:30:40,49.38458333,1.06700500
2025/03/25 - 15:30:41,49.38458500,1.06700500
2025/03/25 - 15:30:42,49.38457333,1.06700667
2025/03/25 - 15:30:43,49.38455833,1.06700500
2025/03/25 - 15:30:44,49.38454000,1.06701000
2025/03/25 - 15:30:45,49.38452500,1.06701333
2025/03/25 - 15:30:46,49.38451500,1.06701500
2025/03/25 - 15:30:47,49.38450500,1.06702333
2025/03/25 - 15:30:48,49.38449833,1.06704333
2025/03/25 - 15:30:49,49.38449167,1.06705000
2025/03/25 - 15:30:50,49.38448833,1.06705500
2025/03/25 - 15:30:51,49.38448500,1.06706167
2025/03/25 - 15:30:52,49.38447667,1.06707833
2025/03/25 - 15:30:53,49.38447500,1.06709167
2025/03/25 - 15:30:54,49.38447500,1.06710167
2025/03/25 - 15:30:55,49.38447000,1.06711500
2025/03/25 - 15:30:56,49.38446000,1.06712000
2025/03/25 - 15:30:57,49.38445667,1.06713333
2025/03/25 - 15:30:58,49.38445500,1.06714667
2025/03/25 - 15:30:59,49.38445500,1.06715833
2025/03/25 - 15:31:00,49.38445500,1.06716500
2025/03/25 - 15:31:01,49.38446000,1.06717833
2025/03/25 - 15:31:02,49.38446833,1.06718667
2025/03/25 - 15:31:03,49.38446500,1.06719500
2025/03/25 - 15:31:04,49.38446667,1.06721000
2025/03/25 - 15:31:05,49.38446833,1.06721833
2025/03/25 - 15:31:06,49.38447333,1.06722500
2025/03/25 - 15:31:07,49.38446833,1.06723333
2025/03/25 - 15:31:08,49.38446500,1.06724667
2025/03/25 - 15:31:09,49.38446667,1.06726333
2025/03/25 - 15:31:10,49.38447000,1.06727500
2025/03/25 - 15:31:11,49.38447000,1.06729167
2025/03/25 - 15:31:12,49.38446833,1.06730333
2025/03/25 - 15:31:13,49.38446667,1.06731000
2025/03/25 - 15:31:14,49.38446667,1.06731667
2025/03/25 - 15:31:15,49.38446500,1.06733167
2025/03/25 - 15:31:16,49.38446500,1.06734333
2025/03/25 - 15:31:17,49.38446167,1.06735500
2025/03/25 - 15:31:18,49.38445500,1.06737500
2025/03/25 - 15:31:19,49.38444500,1.06739667
2025/03/25 - 15:31:20,49.38443500,1.06742167
2025/03/25 - 15:31:21,49.38443667,1.06743833
2025/03/25 - 15:31:22,49.38443167,1.06745500
2025/03/25 - 15:31:23,49.38442333,1.06747000
2025/03/25 - 15:31:24,49.38441833,1.06747500
2025/03/25 - 15:31:25,49.38441167,1.06748333
2025/03/25 - 15:31:26,49.38440333,1.06750000
2025/03/25 - 15:31:27,49.38439000,1.06750833
2025/03/25 - 15:31:28,49.38438167,1.06752333
2025/03/25 - 15:31:29,49.38437000,1.06753667
2025/03/25 - 15:31:30,49.38436333,1.06754500
2025/03/25 - 15:31:31,49.38436167,1.06755833
2025/03/25 - 15:31:32,49.38435833,1.06757833
2025/03/25 - 15:31:33,49.38435333,1.06759333
2025/03/25 - 15:31:34,49.38434833,1.06761167
2025/03/25 - 15:31:35,49.38434000,1.06762333
2025/03/25 - 15:31:36,49.38433833,1.06764500
2025/03/25 - 15:31:37,49.38433833,1.06766833
2025/03/25 - 15:31:38,49.38433333,1.06769500
2025/03/25 - 15:31:39,49.38432833,1.06771500
2025/03/25 - 15:31:40,49.38433333,1.06773500
2025/03/25 - 15:31:41,49.38434333,1.06776167
2025/03/25 - 15:31:42,49.38434833,1.06778333
2025/03/25 - 15:31:43,49.38436167,1.06780000
2025/03/25 - 15:31:44,49.38436667,1.06782667
2025/03/25 - 15:31:45,49.38437500,1.06785833
2025/03/25 - 15:31:46,49.38437667,1.06789333
2025/03/25 - 15:31:47,49.38439000,1.06792500
2025/03/25 - 15:31:48,49.38439500,1.06795833
2025/03/25 - 15:31:49,49.38438000,1.06797000
2025/03/25 - 15:31:50,49.38436333,1.06799000
2025/03/25 - 15:31:51,49.38433167,1.06799500
2025/03/25 - 15:31:52,49.38433500,1.06803000
2025/03/25 - 15:31:53,49.38435333,1.06806167
2025/03/25 - 15:31:54,49.38437000,1.06806833
2025/03/25 - 15:31:55,49.38436500,1.06806833
2025/03/25 - 15:31:56,49.38435667,1.06808000
2025/03/25 - 15:31:57,49.38434833,1.06810167
2025/03/25 - 15:31:58,49.38434000,1.06811000
2025/03/25 - 15:31:59,49.38433833,1.06812000
2025/03/25 - 15:32:00,49.38433500,1.06810833
2025/03/25 - 15:32:01,49.38433667,1.06810167
2025/03/25 - 15:32:02,49.38433167,1.06809333
2025/03/25 - 15:32:03,49.38433000,1.06809000
2025/03/25 - 15:32:04,49.38433667,1.06807833
2025/03/25 - 15:32:05,49.38433833,1.06807167
2025/03/25 - 15:32:06,49.38433833,1.06806833
2025/03/25 - 15:32:07,49.38434000,1.06806833
2025/03/25 - 15:32:08,49.38435167,1.06806833
2025/03/25 - 15:32:09,49.38436333,1.06806833
2025/03/25 - 15:32:10,49.38437667,1.06807167
2025/03/25 - 15:32:11,49.38438500,1.06807167
2025/03/25 - 15:32:12,49.38439333,1.06806833
2025/03/25 - 15:32:13,49.38440167,1.06805667
2025/03/25 - 15:32:14,49.38440833,1.06804500
2025/03/25 - 15:32:15,49.38441000,1.06803167
2025/03/25 - 15:32:16,49.38441500,1.06802833
2025/03/25 - 15:32:17,49.38441333,1.06802500
2025/03/25 - 15:32:18,49.38441167,1.06802167
2025/03/25 - 15:32:19,49.38441167,1.06801500
2025/03/25 - 15:32:20,49.38441833,1.06801500
2025/03/25 - 15:32:21,49.38442833,1.06801333
2025/03/25 - 15:32:22,49.38443333,1.06799500
2025/03/25 - 15:32:23,49.38443667,1.06799333
2025/03/25 - 15:32:24,49.38443833,1.06799333
2025/03/25 - 15:32:25,49.38444333,1.06799000
2025/03/25 - 15:32:26,49.38445000,1.06799333
2025/03/25 - 15:32:27,49.38445333,1.06799000
2025/03/25 - 15:32:28,49.38445333,1.06799333
2025/03/25 - 15:32:29,49.38445333,1.06799333
2025/03/25 - 15:32:30,49.38444833,1.06800167
2025/03/25 - 15:32:31,49.38445000,1.06800667
2025/03/25 - 15:32:32,49.38445167,1.06801000
2025/03/25 - 15:32:33,49.38445167,1.06801833
2025/03/25 - 15:32:34,49.38445000,1.06803000
2025/03/25 - 15:32:35,49.38445000,1.06803667
2025/03/25 - 15:32:36,49.38445500,1.06804333
2025/03/25 - 15:32:37,49.38445333,1.06804833
2025/03/25 - 15:32:38,49.38445500,1.06805667
2025/03/25 - 15:32:39,49.38446167,1.06806500
2025/03/25 - 15:32:40,49.38446500,1.06807333
2025/03/25 - 15:32:41,49.38446500,1.06807667
2025/03/25 - 15:32:42,49.38446833,1.06807833
2025/03/25 - 15:32:43,49.38447167,1.06808500
2025/03/25 - 15:32:44,49.38448167,1.06811000
2025/03/25 - 15:32:45,49.38448833,1.06811667
2025/03/25 - 15:32:46,49.38451333,1.06813667
2025/03/25 - 15:32:47,49.38453667,1.06819000
2025/03/25 - 15:32:48,49.38455167,1.06820000
2025/03/25 - 15:32:49,49.38456333,1.06819667
2025/03/25 - 15:32:50,49.38456667,1.06819833
2025/03/25 - 15:32:51,49.38457000,1.06820500
2025/03/25 - 15:32:52,49.38457667,1.06821167
2025/03/25 - 15:32:53,49.38458500,1.06821333
2025/03/25 - 15:32:54,49.38459833,1.06821667
