UTC,Latitude,Longitude
2025/03/25 - 15:23:41,49.38369333,1.06803667
2025/03/25 - 15:24:06,49.38364167,1.06795667
2025/03/25 - 15:24:07,49.38364167,1.06795667
2025/03/25 - 15:24:08,49.38366833,1.06795000
2025/03/25 - 15:24:09,49.38361667,1.06796167
2025/03/25 - 15:24:10,49.38359500,1.06795667
2025/03/25 - 15:24:11,49.38355833,1.06795833
2025/03/25 - 15:24:12,49.38353833,1.06796333
2025/03/25 - 15:24:13,49.38353167,1.06797500
2025/03/25 - 15:24:14,49.38352333,1.06799000
2025/03/25 - 15:24:15,49.38350667,1.06799000
2025/03/25 - 15:24:16,49.38350167,1.06799333
2025/03/25 - 15:24:17,49.38348833,1.06800000
2025/03/25 - 15:24:18,49.38347000,1.06799833
2025/03/25 - 15:24:19,49.38346667,1.06799333
2025/03/25 - 15:24:20,49.38346333,1.06799167
2025/03/25 - 15:24:21,49.38347167,1.06799167
2025/03/25 - 15:24:22,49.38347167,1.06799167
2025/03/25 - 15:24:23,49.38347167,1.06799167
2025/03/25 - 15:24:24,49.38347167,1.06799167
2025/03/25 - 15:24:25,49.38347167,1.06799167
2025/03/25 - 15:24:26,49.38347167,1.06799167
2025/03/25 - 15:24:27,49.38347167,1.06799167
2025/03/25 - 15:24:28,49.38347167,1.06799167
2025/03/25 - 15:24:29,49.38347167,1.06799167
2025/03/25 - 15:24:30,49.38347167,1.06799167
2025/03/25 - 15:24:31,49.38347167,1.06799167
2025/03/25 - 15:24:32,49.38347167,1.06799167
2025/03/25 - 15:24:33,49.38347167,1.06799167
2025/03/25 - 15:24:34,49.38347167,1.06799167
2025/03/25 - 15:24:35,49.38347167,1.06799167
2025/03/25 - 15:24:36,49.38347167,1.06799167
2025/03/25 - 15:24:37,49.38347167,1.06799167
2025/03/25 - 15:24:38,49.38347167,1.06799167
2025/03/25 - 15:24:39,49.38347167,1.06799167
2025/03/25 - 15:24:40,49.38355333,1.06805833
2025/03/25 - 15:24:41,49.38356667,1.06806833
2025/03/25 - 15:24:42,49.38356833,1.06806667
2025/03/25 - 15:24:43,49.38357000,1.06806167
2025/03/25 - 15:24:44,49.38357000,1.06806167
2025/03/25 - 15:24:45,49.38357000,1.06806167
2025/03/25 - 15:24:46,49.38357000,1.06806167
2025/03/25 - 15:24:47,49.38357000,1.06806167
2025/03/25 - 15:24:48,49.38357000,1.06806167
2025/03/25 - 15:24:49,49.38357000,1.06806167
2025/03/25 - 15:24:50,49.38357000,1.06806167
2025/03/25 - 15:24:51,49.38369167,1.06809333
2025/03/25 - 15:24:52,49.38374000,1.06810667
2025/03/25 - 15:24:53,49.38379000,1.06812333
2025/03/25 - 15:24:55,49.38384667,1.06814667
2025/03/25 - 15:24:56,49.38386333,1.06815333
2025/03/25 - 15:24:57,49.38390833,1.06816167
2025/03/25 - 15:24:58,49.38392000,1.06816500
2025/03/25 - 15:24:59,49.38393333,1.06817333
