UTC,Latitude,Longitude
2025/05/06 - 15:18:06,49.3851740,1.0678100
2025/05/06 - 15:18:07,49.3851740,1.0678100
2025/05/06 - 15:18:08,49.3851740,1.0678010
2025/05/06 - 15:18:09,49.3851650,1.0678020
2025/05/06 - 15:18:10,49.3851580,1.0677970
2025/05/06 - 15:18:11,49.3851520,1.0678040
2025/05/06 - 15:18:12,49.3851520,1.0678250
2025/05/06 - 15:18:13,49.3851580,1.0678390
2025/05/06 - 15:18:14,49.3851690,1.0678640
2025/05/06 - 15:18:15,49.3851810,1.0679070
2025/05/06 - 15:18:16,49.3851820,1.0679190
2025/05/06 - 15:18:17,49.3851770,1.0679260
2025/05/06 - 15:18:18,49.3852010,1.0679430
2025/05/06 - 15:18:19,49.3851850,1.0679320
2025/05/06 - 15:18:20,49.3851690,1.0679280
2025/05/06 - 15:18:21,49.3851580,1.0679280
2025/05/06 - 15:18:22,49.3851500,1.0679190
2025/05/06 - 15:18:23,49.3851470,1.0679160
2025/05/06 - 15:18:24,49.3851450,1.0679190
2025/05/06 - 15:18:25,49.3851430,1.0679280
2025/05/06 - 15:18:26,49.3851410,1.0679460
2025/05/06 - 15:18:27,49.3851340,1.0679470
2025/05/06 - 15:18:28,49.3851360,1.0679520
2025/05/06 - 15:18:29,49.3851360,1.0679680
2025/05/06 - 15:18:30,49.3851450,1.0679880
2025/05/06 - 15:18:31,49.3851470,1.0679970
2025/05/06 - 15:18:32,49.3851490,1.0680060
2025/05/06 - 15:18:33,49.3851510,1.0680160
2025/05/06 - 15:18:34,49.3851530,1.0680250
2025/05/06 - 15:18:35,49.3851550,1.0680340
2025/05/06 - 15:18:36,49.3851600,1.0680480
2025/05/06 - 15:18:37,49.3851670,1.0680600
2025/05/06 - 15:18:38,49.3851700,1.0680740
2025/05/06 - 15:18:39,49.3851710,1.0681050
2025/05/06 - 15:18:40,49.3851730,1.0681190
2025/05/06 - 15:18:41,49.3851740,1.0681330
2025/05/06 - 15:18:42,49.3851820,1.0681590
2025/05/06 - 15:18:43,49.3851870,1.0681810
2025/05/06 - 15:18:44,49.3852030,1.0682030
2025/05/06 - 15:18:45,49.3852070,1.0682170
2025/05/06 - 15:18:46,49.3852100,1.0682300
2025/05/06 - 15:18:47,49.3852160,1.0682370
2025/05/06 - 15:18:48,49.3852280,1.0682620
2025/05/06 - 15:18:49,49.3852360,1.0682790
2025/05/06 - 15:18:50,49.3852470,1.0682910
2025/05/06 - 15:18:51,49.3852510,1.0683120
2025/05/06 - 15:18:52,49.3852540,1.0683210
2025/05/06 - 15:18:53,49.3852620,1.0683350
2025/05/06 - 15:18:54,49.3852700,1.0683600
2025/05/06 - 15:18:55,49.3852740,1.0683680
2025/05/06 - 15:18:56,49.3852790,1.0683750
2025/05/06 - 15:18:57,49.3852830,1.0683830
2025/05/06 - 15:18:58,49.3852940,1.0684000
2025/05/06 - 15:18:59,49.3853040,1.0684110
2025/05/06 - 15:19:00,49.3853270,1.0684240
2025/05/06 - 15:19:01,49.3853390,1.0684270
2025/05/06 - 15:19:02,49.3853610,1.0684470
2025/05/06 - 15:19:03,49.3853660,1.0684570
2025/05/06 - 15:19:04,49.3853710,1.0684660
2025/05/06 - 15:19:05,49.3853580,1.0684790
2025/05/06 - 15:19:06,49.3853600,1.0684880
2025/05/06 - 15:19:07,49.3853580,1.0684970
2025/05/06 - 15:19:08,49.3853610,1.0685010
2025/05/06 - 15:19:09,49.3853640,1.0685170
2025/05/06 - 15:19:10,49.3853740,1.0685250
2025/05/06 - 15:19:11,49.3853780,1.0685380
2025/05/06 - 15:19:12,49.3853870,1.0685520
2025/05/06 - 15:19:13,49.3854000,1.0685740
2025/05/06 - 15:19:14,49.3854070,1.0685820
2025/05/06 - 15:19:15,49.3854130,1.0685910
2025/05/06 - 15:19:16,49.3854260,1.0685990
2025/05/06 - 15:19:17,49.3854420,1.0686100
2025/05/06 - 15:19:18,49.3854540,1.0686140
2025/05/06 - 15:19:19,49.3854740,1.0686240
2025/05/06 - 15:19:20,49.3854850,1.0686270
2025/05/06 - 15:19:21,49.3854950,1.0686350
2025/05/06 - 15:19:22,49.3855050,1.0686490
2025/05/06 - 15:19:23,49.3855130,1.0686610
2025/05/06 - 15:19:24,49.3855290,1.0686810
2025/05/06 - 15:19:25,49.3855460,1.0687010
2025/05/06 - 15:19:26,49.3855540,1.0687120
2025/05/06 - 15:19:27,49.3855610,1.0687220
2025/05/06 - 15:19:28,49.3855720,1.0687260
2025/05/06 - 15:19:29,49.3855830,1.0687360
2025/05/06 - 15:19:30,49.3855910,1.0687490
2025/05/06 - 15:19:31,49.3856010,1.0687520
2025/05/06 - 15:19:32,49.3856160,1.0687580
2025/05/06 - 15:19:33,49.3856250,1.0687380
2025/05/06 - 15:19:34,49.3856400,1.0687080
2025/05/06 - 15:19:35,49.3856490,1.0686960
2025/05/06 - 15:19:36,49.3856540,1.0686820
2025/05/06 - 15:19:37,49.3856550,1.0686630
2025/05/06 - 15:19:38,49.3856620,1.0686490
2025/05/06 - 15:19:39,49.3856650,1.0686270
2025/05/06 - 15:19:40,49.3856680,1.0686120
2025/05/06 - 15:19:41,49.3856750,1.0685990
2025/05/06 - 15:19:42,49.3856820,1.0685840
2025/05/06 - 15:19:43,49.3856840,1.0685670
2025/05/06 - 15:19:44,49.3856890,1.0685550
2025/05/06 - 15:19:45,49.3856940,1.0685200
2025/05/06 - 15:19:46,49.3856960,1.0685080
2025/05/06 - 15:19:47,49.3856970,1.0684960
2025/05/06 - 15:19:48,49.3856980,1.0684850
2025/05/06 - 15:19:49,49.3857010,1.0684730
2025/05/06 - 15:19:50,49.3857130,1.0684530
2025/05/06 - 15:19:51,49.3857190,1.0684400
2025/05/06 - 15:19:52,49.3857230,1.0684300
2025/05/06 - 15:19:53,49.3857270,1.0684120
2025/05/06 - 15:19:54,49.3857360,1.0683920
2025/05/06 - 15:19:55,49.3857420,1.0683720
2025/05/06 - 15:19:56,49.3857500,1.0683540
2025/05/06 - 15:19:57,49.3857580,1.0683340
2025/05/06 - 15:19:58,49.3857640,1.0683150
2025/05/06 - 15:19:59,49.3857660,1.0683020
2025/05/06 - 15:20:00,49.3857680,1.0682880
2025/05/06 - 15:20:01,49.3857700,1.0682680
2025/05/06 - 15:20:02,49.3857740,1.0682370
2025/05/06 - 15:20:03,49.3857790,1.0682180
2025/05/06 - 15:20:04,49.3857860,1.0681980
2025/05/06 - 15:20:05,49.3857920,1.0681840
2025/05/06 - 15:20:06,49.3857890,1.0681670
2025/05/06 - 15:20:07,49.3857860,1.0681520
2025/05/06 - 15:20:08,49.3857860,1.0681350
2025/05/06 - 15:20:09,49.3857860,1.0681030
2025/05/06 - 15:20:10,49.3857740,1.0680860
2025/05/06 - 15:20:11,49.3857710,1.0680650
2025/05/06 - 15:20:12,49.3857680,1.0680420
2025/05/06 - 15:20:13,49.3857640,1.0680260
2025/05/06 - 15:20:14,49.3857630,1.0680120
2025/05/06 - 15:20:15,49.3857650,1.0679880
2025/05/06 - 15:20:16,49.3857540,1.0679810
2025/05/06 - 15:20:17,49.3857460,1.0679690
2025/05/06 - 15:20:18,49.3857350,1.0679640
2025/05/06 - 15:20:19,49.3857310,1.0679470
2025/05/06 - 15:20:20,49.3857230,1.0679380
2025/05/06 - 15:20:21,49.3857140,1.0679260
2025/05/06 - 15:20:22,49.3857030,1.0679170
2025/05/06 - 15:20:23,49.3856960,1.0679030
2025/05/06 - 15:20:24,49.3856840,1.0678810
2025/05/06 - 15:20:25,49.3856780,1.0678700
2025/05/06 - 15:20:26,49.3856710,1.0678590
2025/05/06 - 15:20:27,49.3856570,1.0678260
2025/05/06 - 15:20:28,49.3856520,1.0678090
2025/05/06 - 15:20:29,49.3856380,1.0677930
2025/05/06 - 15:20:30,49.3856300,1.0677820
2025/05/06 - 15:20:31,49.3856230,1.0677700
2025/05/06 - 15:20:32,49.3856120,1.0677640
2025/05/06 - 15:20:33,49.3856060,1.0677510
2025/05/06 - 15:20:34,49.3855990,1.0677270
2025/05/06 - 15:20:35,49.3855930,1.0677200
2025/05/06 - 15:20:36,49.3855870,1.0677120
2025/05/06 - 15:20:37,49.3855810,1.0677050
2025/05/06 - 15:20:38,49.3855720,1.0676930
2025/05/06 - 15:20:39,49.3855680,1.0676880
2025/05/06 - 15:20:40,49.3855530,1.0676700
2025/05/06 - 15:20:41,49.3855460,1.0676670
2025/05/06 - 15:20:42,49.3855360,1.0676490
2025/05/06 - 15:20:43,49.3855310,1.0676320
2025/05/06 - 15:20:44,49.3855230,1.0676150
2025/05/06 - 15:20:45,49.3855160,1.0676070
2025/05/06 - 15:20:46,49.3855090,1.0676010
2025/05/06 - 15:20:47,49.3855030,1.0675960
2025/05/06 - 15:20:48,49.3854970,1.0675890
2025/05/06 - 15:20:49,49.3854900,1.0675790
2025/05/06 - 15:20:50,49.3854820,1.0675760
2025/05/06 - 15:20:51,49.3854710,1.0675610
2025/05/06 - 15:20:52,49.3854560,1.0675430
2025/05/06 - 15:20:53,49.3854430,1.0675290
2025/05/06 - 15:20:54,49.3854340,1.0675180
2025/05/06 - 15:20:55,49.3854260,1.0675070
2025/05/06 - 15:20:56,49.3854050,1.0674880
2025/05/06 - 15:20:57,49.3853940,1.0674820
2025/05/06 - 15:20:58,49.3853840,1.0674760
2025/05/06 - 15:20:59,49.3853710,1.0674710
2025/05/06 - 15:21:00,49.3853560,1.0674750
2025/05/06 - 15:21:01,49.3853400,1.0674740
2025/05/06 - 15:21:02,49.3853230,1.0674730
2025/05/06 - 15:21:03,49.3853050,1.0674740
2025/05/06 - 15:21:04,49.3852910,1.0674740
2025/05/06 - 15:21:05,49.3852760,1.0674750
2025/05/06 - 15:21:06,49.3852650,1.0674810
2025/05/06 - 15:21:07,49.3852560,1.0674840
2025/05/06 - 15:21:08,49.3852490,1.0674900
2025/05/06 - 15:21:09,49.3852410,1.0675000
2025/05/06 - 15:21:10,49.3852300,1.0675030
2025/05/06 - 15:21:11,49.3852220,1.0675090
2025/05/06 - 15:21:12,49.3851990,1.0675160
2025/05/06 - 15:21:13,49.3851840,1.0675290
2025/05/06 - 15:21:14,49.3851690,1.0675360
2025/05/06 - 15:21:15,49.3851490,1.0675420
2025/05/06 - 15:21:16,49.3851420,1.0675460
2025/05/06 - 15:21:17,49.3851340,1.0675490
2025/05/06 - 15:21:18,49.3851210,1.0675480
2025/05/06 - 15:21:19,49.3851110,1.0675550
2025/05/06 - 15:21:20,49.3851050,1.0675630
2025/05/06 - 15:21:21,49.3850920,1.0675710
2025/05/06 - 15:21:22,49.3850720,1.0675840
2025/05/06 - 15:21:23,49.3850570,1.0676030
2025/05/06 - 15:21:24,49.3850490,1.0676190
2025/05/06 - 15:21:25,49.3850290,1.0676390
2025/05/06 - 15:21:26,49.3850220,1.0676450
2025/05/06 - 15:21:27,49.3850150,1.0676510
2025/05/06 - 15:21:28,49.3850040,1.0676610
2025/05/06 - 15:21:29,49.3849930,1.0676710
2025/05/06 - 15:21:30,49.3849880,1.0676840
2025/05/06 - 15:21:31,49.3849860,1.0676960
2025/05/06 - 15:21:32,49.3849810,1.0676970
2025/05/06 - 15:21:33,49.3849770,1.0677010
2025/05/06 - 15:21:34,49.3849730,1.0677110
2025/05/06 - 15:21:35,49.3849700,1.0677180
2025/05/06 - 15:21:36,49.3849670,1.0677240
2025/05/06 - 15:21:37,49.3849650,1.0677220
2025/05/06 - 15:21:38,49.3849670,1.0677340
2025/05/06 - 15:21:39,49.3849660,1.0677580
2025/05/06 - 15:21:40,49.3849600,1.0677630
