UTC,Latitude,Longitude
2025/03/25 - 15:38:38,49.38491167,1.06792500
2025/03/25 - 15:38:39,49.38497833,1.06792000
2025/03/25 - 15:38:40,49.38498167,1.06793167
2025/03/25 - 15:38:41,49.38498833,1.06793833
2025/03/25 - 15:38:42,49.38499333,1.06794167
2025/03/25 - 15:38:43,49.38500333,1.06795167
2025/03/25 - 15:38:44,49.38501000,1.06796167
2025/03/25 - 15:38:45,49.38501667,1.06797667
2025/03/25 - 15:38:46,49.38502667,1.06799167
2025/03/25 - 15:38:47,49.38503500,1.06800833
2025/03/25 - 15:38:48,49.38504667,1.06802500
2025/03/25 - 15:38:49,49.38505333,1.06804167
2025/03/25 - 15:38:50,49.38506500,1.06805667
2025/03/25 - 15:38:51,49.38507667,1.06807167
2025/03/25 - 15:38:52,49.38508833,1.06807667
2025/03/25 - 15:38:53,49.38509000,1.06809000
2025/03/25 - 15:38:54,49.38509000,1.06810500
2025/03/25 - 15:38:55,49.38508833,1.06812167
2025/03/25 - 15:38:56,49.38508667,1.06813500
2025/03/25 - 15:38:57,49.38509000,1.06814333
2025/03/25 - 15:38:58,49.38509500,1.06815333
2025/03/25 - 15:38:59,49.38510000,1.06816333
2025/03/25 - 15:39:00,49.38510000,1.06817167
2025/03/25 - 15:39:01,49.38510167,1.06818167
2025/03/25 - 15:39:02,49.38509833,1.06819000
2025/03/25 - 15:39:03,49.38509500,1.06820333
2025/03/25 - 15:39:04,49.38509500,1.06820667
2025/03/25 - 15:39:05,49.38509500,1.06821667
2025/03/25 - 15:39:06,49.38510167,1.06822500
2025/03/25 - 15:39:07,49.38510833,1.06823333
2025/03/25 - 15:39:08,49.38511000,1.06824833
2025/03/25 - 15:39:09,49.38511000,1.06826000
2025/03/25 - 15:39:10,49.38511333,1.06827333
2025/03/25 - 15:39:11,49.38510833,1.06828833
2025/03/25 - 15:39:12,49.38511167,1.06830167
2025/03/25 - 15:39:13,49.38511333,1.06831167
2025/03/25 - 15:39:14,49.38511500,1.06832500
2025/03/25 - 15:39:15,49.38511833,1.06834333
2025/03/25 - 15:39:16,49.38512333,1.06836000
2025/03/25 - 15:39:17,49.38512500,1.06837833
2025/03/25 - 15:39:18,49.38512833,1.06839500
2025/03/25 - 15:39:19,49.38513333,1.06840833
2025/03/25 - 15:39:20,49.38513667,1.06841500
2025/03/25 - 15:39:21,49.38514167,1.06841833
2025/03/25 - 15:39:22,49.38514833,1.06842333
2025/03/25 - 15:39:23,49.38515667,1.06843333
2025/03/25 - 15:39:24,49.38516167,1.06844667
2025/03/25 - 15:39:25,49.38517833,1.06845000
2025/03/25 - 15:39:26,49.38519333,1.06845167
2025/03/25 - 15:39:27,49.38521500,1.06844333
2025/03/25 - 15:39:28,49.38524000,1.06842833
2025/03/25 - 15:39:29,49.38525667,1.06841833
2025/03/25 - 15:39:30,49.38527167,1.06841833
2025/03/25 - 15:39:31,49.38529000,1.06842000
